3-1-12-0-5	12	[2.0077004169999997, 2.075865658, 1.9660505480000001, 2.031453995, 1.987604776, 2.056532232, 2.0350675970000003, 2.02093076, 2.01531915, 2.028721602, 2.103935344, 2.0357840350000003, 2.017480663, 2.0175476100000003, 1.9507772500000002, 1.9797144329999998, 2.0102423810000003, 1.9977145060000001, 2.0056321219999997, 2.017349236, 2.098749691, 2.014910905, 1.9800882879999997, 2.004851467, 2.009894071, 1.9846039490000003, 2.141636387, 2.0450401090000003, 1.979636491, 2.0354637760000003, 2.000687406, 2.112111835, 1.985502692, 2.0058795519999997, 2.0599270709999997, 2.0134533799999996, 2.018827899, 2.036899847, 1.9837082769999999, 1.9440218329999999, ]
29-3-13-2-4	8	[1.6903147510000003, 1.671614553, 1.6970338539999998, 1.7718822689999998, 1.717153876, 1.6675155879999999, 1.68086056, 1.688336772, 1.7042783949999998, 1.7494114559999998, 1.714870639, 1.753190688, 1.6669258129999998, 1.6776638640000003, 1.6851132659999997, 1.675472222, 1.7183736859999998, 1.733567007, 1.675198013, 1.7111912960000002, 1.67338433, 1.6621513300000001, 1.6905603249999999, 1.740631509, 1.7583100360000001, 1.6887132310000001, 1.697382119, 1.6765111890000002, 1.67083044, 1.689928595, 1.7007229750000001, 1.6885117449999998, 1.6865316909999999, 1.724255831, 1.6708780189999999, 1.6968393529999999, 1.6731731710000002, 1.687852662, 1.712857494, 1.7156759259999999, ]
24-3-28-2-5	9	[1.5666423340000002, 1.561011049, 1.614395718, 1.5813246029999997, 1.6177789479999998, 1.5917246560000002, 1.627791127, 1.5735866799999998, 1.5771550419999998, 1.6250546670000001, 1.569530791, 1.576905192, 1.5850780079999998, 1.55661963, 1.581135781, 1.6182366620000002, 1.6023379210000002, 1.598638369, 1.5654204889999999, 1.5787657240000001, 1.6078986690000001, 1.5921990499999998, 1.604201316, 1.565539961, 1.620704047, 1.5782286449999998, 1.5959383679999997, 1.554951315, 1.5905703279999999, 1.6068089459999997, 1.5504721019999999, 1.579510677, 1.581914452, 1.5731337289999998, 1.617700346, 1.6126813420000001, 1.5822177699999997, 1.586648758, 1.626466431, 1.610508557, ]
20-0-14-2-3	11	[1.6226390790000003, 1.6171080030000002, 1.6327776879999998, 1.6376860670000002, 1.587980422, 1.6841730400000001, 1.6232500930000002, 1.6111513469999998, 1.580931468, 1.6109967170000001, 1.612033661, 1.6030488269999998, 1.6377504920000001, 1.5974443490000003, 1.5983276779999998, 1.6193970910000002, 1.5981753090000002, 1.5954022970000001, 1.5873996240000001, 1.605674505, 1.596184942, 1.6119259809999997, 1.6193876390000002, 1.5877601120000002, 1.5835678649999998, 1.636984384, 1.614627812, 1.66632625, 1.610022501, 1.626631513, 1.610468761, 1.6028831829999999, 1.6073658519999998, 1.617375774, 1.638251829, 1.594766426, 1.6608651110000001, 1.6207763210000001, 1.622804886, 1.633947772, ]
6-2-9-3-0	12	[2.348722905, 2.3936901109999997, 2.336476466, 2.4091227460000004, 2.300272755, 2.5030375410000003, 2.3476868910000004, 2.313329083, 2.406796432, 2.30532351, 2.315760912, 2.296557751, 2.340900882, 2.303964743, 2.282598656, 2.322728393, 2.354238746, 2.3642341129999997, 2.362665115, 2.3410732679999997, 2.307574191, 2.377872872, 2.3306565299999997, 2.312640403, 2.5116536160000003, 2.3173672180000002, 2.317794421, 2.319745933, 2.370366973, 2.3217288170000003, 2.326922863, 2.3122506019999998, 2.316034647, 2.3692776450000004, 2.302223591, 2.313665319, 2.313536438, 2.298283249, 2.3520647739999996, 2.397319014, ]
24-2-42-6-7	8	[1.4455137679999999, 1.420668324, 1.4515733100000001, 1.411389142, 1.4480404990000002, 1.486622142, 1.4038184190000003, 1.4865024150000001, 1.404885122, 1.419486296, 1.403236315, 1.430248087, 1.417239995, 1.3967784770000002, 1.489163703, 1.3976478070000002, 1.4328376720000002, 1.4141109850000002, 1.478144259, 1.4128937160000001, 1.492151712, 1.447302129, 1.4268543399999998, 1.4239338890000002, 1.498328976, 1.438893716, 1.405273712, 1.4436359890000001, 1.4156328440000001, 1.4060095609999999, 1.428959752, 1.4019922480000002, 1.440110169, 1.410131791, 1.407346338, 1.4058317740000001, 1.4339993, 1.4210736449999999, 1.43588228, 1.462340266, ]
19-3-9-3-0	10	[1.8678772920000002, 1.8827685720000003, 1.8786266770000002, 1.8807628839999997, 1.8846672889999998, 1.909667104, 1.8648719500000002, 1.85601168, 1.8500105319999998, 1.8706306390000003, 1.8327567959999997, 1.919060565, 1.8642209809999999, 1.882798202, 1.8387725010000002, 1.89773713, 1.859801166, 1.890130057, 1.9120487800000001, 1.840857175, 1.8657105979999997, 1.8677369759999998, 1.8861416660000003, 1.8587765920000001, 1.8572898709999999, 1.9097457669999998, 1.8686627960000002, 1.8666482830000002, 2.0872307489999997, 1.839786697, 1.87580882, 1.893798227, 1.856527672, 1.855132238, 1.906031575, 1.8704872449999999, 1.840044094, 1.8366264620000001, 1.906363319, 1.8639747230000001, ]
29-3-32-3-5	8	[1.38014092, 1.372953808, 1.3790129530000002, 1.4468896509999998, 1.3955293749999997, 1.377188223, 1.362422724, 1.3841444589999998, 1.375776124, 1.366401696, 1.360402155, 1.359771969, 1.353800696, 1.372484638, 1.362849643, 1.398693742, 1.3611181709999998, 1.3707583030000001, 1.365591535, 1.3699371820000001, 1.38113237, 1.38696852, 1.367906895, 1.3660748799999998, 1.387174747, 1.361358149, 1.352608161, 1.3669001080000003, 1.3517234, 1.3904162420000001, 1.366294391, 1.3608616430000002, 1.3846248019999998, 1.3683048800000002, 1.363356697, 1.3821425600000001, 1.413032308, 1.406406134, 1.394115775, 1.372343072, ]
12-3-45-0-0	11	[1.7262949909999998, 1.6919699030000002, 1.733167306, 1.716607903, 1.7149308579999998, 1.7814327600000002, 1.700975059, 1.755783784, 1.709855232, 1.72021735, 1.7293356160000002, 1.708744646, 1.691789715, 1.709573726, 1.723114649, 1.7096717, 1.679393933, 1.701239938, 1.7311261450000002, 1.691314804, 1.6833055529999998, 1.7146621430000002, 1.718116922, 1.6981929, 1.6962988380000001, 1.685545516, 1.71500425, 1.696538574, 1.719356468, 1.7475584780000002, 1.7544673659999996, 1.718226677, 1.711333804, 1.6822276649999997, 1.715734734, 1.711610996, 1.716252399, 1.709595303, 1.7713082939999998, 1.740766828, ]
17-0-35-4-1	12	[1.491260574, 1.530792903, 1.5171904939999998, 1.5044995449999998, 1.4961298449999998, 1.519375228, 1.4951633850000001, 1.53450123, 1.541817473, 1.499395593, 1.5008385670000002, 1.501202302, 1.490213506, 1.514248348, 1.5479757539999999, 1.504293718, 1.5115851770000002, 1.5005684149999998, 1.5136771839999998, 1.4945399739999998, 1.528728477, 1.494347447, 1.524186636, 1.509248778, 1.533492869, 1.5246114629999998, 1.4892569340000001, 1.567082036, 1.5113736539999998, 1.5494592409999999, 1.511918674, 1.521030404, 1.531105535, 1.491527587, 1.4923429929999998, 1.5245423059999998, 1.501264739, 1.5054186659999997, 1.527241757, 1.501857927, ]
