15-0-834	7	[2.454591591, 2.490290645, 2.440860645, 2.497885484, 2.492613359, 2.544110689, 2.529031575, 2.479107541, 2.492183583, 2.495047364, 2.5071043, 2.486697186, 2.517141905, 2.508527786, 2.547319665, 2.457547866, 2.488210315, 2.44826821, 2.464754368, 2.512559343, 2.462207346, 2.46949307, 2.5401088090000004, 2.4702628559999997, 2.487144451, 2.526907661, 2.477111023, 2.459816681, 2.508483334, 2.5303704529999997, 2.499326332, 2.489220453, 2.5031050969999997, 2.510852312, 2.512471686, 2.529811297, 2.520992197, 2.47892358, 2.481983561, 2.52206689, ]
15-1-772	7	[2.4235878390000005, 2.400829459, 2.437257001, 2.489637173, 2.4163013550000003, 2.4486301470000003, 2.399323093, 2.436722844, 2.511825896, 2.4212404750000003, 2.426699981, 2.383694502, 2.4551452719999998, 2.424146926, 2.455819105, 2.445709179, 2.436488455, 2.4421322529999996, 2.431182913, 2.471648702, 2.440881386, 2.452739614, 2.39819255, 2.483623299, 2.449036338, 2.4079134829999997, 2.4281830319999997, 2.4246850920000003, 2.403676598, 2.424352646, 2.443101242, 2.4310246070000003, 2.399950553, 2.4597885010000002, 2.396088202, 2.4330155589999998, 2.43953272, 2.369852937, 2.4289433579999997, 2.425299493, ]
0-0-196	12	[2.500350081, 2.4650525290000003, 2.454962138, 2.4220962630000002, 2.444641225, 2.437902268, 2.554614757, 2.515871352, 2.506262908, 2.561452265, 2.464523282, 2.4983183660000003, 2.4478883700000003, 2.463783247, 2.444382351, 2.518468307, 2.502764599, 2.486037304, 2.4879375799999996, 2.440557245, 2.53804681, 2.500062776, 2.453398521, 2.487807943, 2.4585937380000003, 2.460835721, 2.526043796, 2.475056176, 2.4442011719999996, 2.4709467710000004, 2.4871968630000003, 2.522660148, 2.5126371279999997, 2.47041835, 2.51391352, 2.4833174509999996, 2.48542023, 2.456976461, 2.46349953, 2.492260252, ]
0-0-34	13	[2.444357448, 2.474713464, 2.4738800559999996, 2.483838564, 2.427474547, 2.4286157170000005, 2.4443192899999997, 2.4503756819999998, 2.4616641489999997, 2.452440229, 2.466180793, 2.487702987, 2.438124084, 2.45624212, 2.472980302, 2.47048787, 2.456362886, 2.4709451820000004, 2.453086894, 2.4231180930000003, 2.395882778, 2.407338006, 2.425586916, 2.470976432, 2.447399924, 2.4449382429999997, 2.461859236, 2.4572739930000003, 2.444328713, 2.4451626500000003, 2.4489096649999995, 2.432749576, 2.4665533359999996, 2.436138196, 2.4271885839999996, 2.4566136829999996, 2.4860482, 2.4608420339999997, 2.445758043, 2.437364551, ]
15-0-824	6	[2.381532201, 2.32221628, 2.316318099, 2.3622901190000003, 2.444945845, 2.3861889020000002, 2.3210576179999998, 2.35526414, 2.3797694810000003, 2.385747765, 2.393735892, 2.338581101, 2.337828083, 2.3820508410000003, 2.497539442, 2.418433933, 2.3390860730000003, 2.330187289, 2.328273794, 2.363056705, 2.340956661, 2.3640967109999997, 2.390519244, 2.351653625, 2.358396218, 2.3042936640000002, 2.370780849, 2.368231999, 2.392655769, 2.397583988, 2.345771229, 2.395440289, 2.448717648, 2.3349146, 2.3364656520000002, 2.388171416, 2.3570064320000004, 2.346350698, 2.360336804, 2.339050953, ]
6-1-506	5	[2.38037361, 2.374308693, 2.330248386, 2.401764461, 2.358499191, 2.382777518, 2.394090099, 2.377743497, 2.378943595, 2.381870788, 2.365225602, 2.430103752, 2.399138213, 2.3592040990000003, 2.346695155, 2.3614005340000004, 2.349499786, 2.341194622, 2.352531215, 2.367114939, 2.394973151, 2.383274394, 2.397847905, 2.352978688, 2.348911165, 2.39807815, 2.368334978, 2.3661492610000003, 2.3922620940000003, 2.394645566, 2.336366566, 2.382475679, 2.365638891, 2.3413062989999998, 2.3658643770000003, 2.399912647, 2.3522108420000003, 2.428659587, 2.397961128, 2.3401856899999998, ]
15-0-167	6	[2.423929695, 2.458983582, 2.403149154, 2.41818546, 2.379555321, 2.400761221, 2.436090977, 2.444111563, 2.4721743409999997, 2.40679013, 2.4525296930000002, 2.442635286, 2.484452739, 2.413622207, 2.448036143, 2.43277828, 2.445789308, 2.493315682, 2.408928746, 2.4411164349999996, 2.4152592690000003, 2.3988233009999997, 2.523848339, 2.3845014520000003, 2.4184866990000002, 2.413940386, 2.410623989, 2.407335758, 2.4150952530000005, 2.415050881, 2.445154523, 2.429869557, 2.462910701, 2.435209367, 2.411359885, 2.4134792450000004, 2.436497804, 2.486035257, 2.39870397, 2.39837073, ]
15-1-933	4	[2.407081501, 2.409088178, 2.454934509, 2.377720402, 2.417978333, 2.41507949, 2.434550012, 2.401337867, 2.391549116, 2.46778862, 2.38854465, 2.415632155, 2.4559636100000004, 2.4077147219999997, 2.4594536, 2.406210466, 2.4154243610000004, 2.431930597, 2.401803567, 2.446011376, 2.391088947, 2.3989088589999996, 2.3916499570000003, 2.402421172, 2.412145833, 2.4108708859999997, 2.509499534, 2.400393901, 2.427801489, 2.4121602799999997, 2.4422776230000003, 2.386436453, 2.4193166340000003, 2.438387449, 2.376115114, 2.388988426, 2.419034753, 2.412072218, 2.360664218, 2.457402935, ]
15-0-96	9	[2.432839884, 2.429314269, 2.415127044, 2.4106989, 2.39731868, 2.429238026, 2.422144665, 2.454906006, 2.447336239, 2.416946541, 2.43076479, 2.3948561660000003, 2.40437937, 2.455751199, 2.394972984, 2.434298966, 2.460252496, 2.385392174, 2.386718638, 2.427869377, 2.4833998250000002, 2.423044877, 2.445006029, 2.412227378, 2.407462997, 2.413101443, 2.440025573, 2.42745481, 2.373871389, 2.451329524, 2.421176581, 2.430003891, 2.426096818, 2.410461293, 2.371385911, 2.380395373, 2.4762315299999997, 2.42729192, 2.435447671, 2.451943032, ]
15-1-92	6	[2.351258138, 2.3197568250000002, 2.314813467, 2.330187525, 2.310669546, 2.324838402, 2.28825811, 2.303249893, 2.293358174, 2.299991148, 2.307908771, 2.359277202, 2.316707427, 2.296769525, 2.304851356, 2.3113002490000003, 2.343415735, 2.3180039729999997, 2.34149371, 2.310884762, 2.394343763, 2.328003549, 2.29950127, 2.3222460700000003, 2.33959981, 2.356576253, 2.338199403, 2.310502311, 2.298454409, 2.332647788, 2.307188438, 2.344759295, 2.293962558, 2.354595608, 2.319174847, 2.299700127, 2.328309933, 2.3506781460000004, 2.306415808, 2.342592871, ]
15-1-859	3	[2.357390457, 2.409724404, 2.391246582, 2.410899126, 2.375492668, 2.3557206460000004, 2.3988015110000003, 2.359297229, 2.365919305, 2.419377207, 2.4001314220000003, 2.3374938729999997, 2.335205925, 2.369524214, 2.363689854, 2.375779234, 2.376054907, 2.348508643, 2.384146903, 2.379364682, 2.351420901, 2.3710459349999997, 2.393425949, 2.384296198, 2.322036766, 2.347006612, 2.433111121, 2.347580138, 2.357233038, 2.41947771, 2.339837594, 2.44519637, 2.350408183, 2.365270055, 2.388632452, 2.352286103, 2.441730939, 2.3697736590000003, 2.369685187, 2.372758924, ]
15-1-77	6	[2.382938364, 2.3808565049999997, 2.403809873, 2.360182989, 2.412956773, 2.406666396, 2.364403965, 2.4042256490000002, 2.402693716, 2.377736363, 2.4262474220000003, 2.350701518, 2.39313831, 2.442815214, 2.339750943, 2.344517616, 2.362406973, 2.361594033, 2.406078207, 2.3725633050000003, 2.32700878, 2.385206668, 2.3741235080000003, 2.3669465450000002, 2.365844107, 2.364489808, 2.381377381, 2.3825182380000003, 2.394255121, 2.370760445, 2.374928489, 2.3865768960000002, 2.335664402, 2.3356733050000003, 2.2947969030000004, 2.374283364, 2.422354765, 2.349580809, 2.42112988, 2.429812245, ]
8-0-871	7	[2.514539961, 2.4992241909999997, 2.4763278169999996, 2.5432423529999997, 2.520346417, 2.453291688, 2.508292785, 2.521734262, 2.436664918, 2.503473781, 2.451846925, 2.4513575229999995, 2.53920123, 2.507717479, 2.481409116, 2.472772454, 2.507139403, 2.560091777, 2.47955649, 2.493092559, 2.485178824, 2.4873318099999997, 2.463379908, 2.517965459, 2.476139429, 2.4608217860000003, 2.474504069, 2.451312875, 2.559109692, 2.538864232, 2.476387811, 2.5067315929999996, 2.477395003, 2.4744689099999997, 2.490181584, 2.4902612509999997, 2.518041732, 2.487425796, 2.533087451, 2.499644916, ]
6-1-605	6	[2.3042726680000003, 2.284377525, 2.312107278, 2.324534029, 2.34770265, 2.3062433799999997, 2.321960447, 2.293367124, 2.293782186, 2.3179678720000005, 2.358604657, 2.317344079, 2.3109324890000003, 2.2884833199999997, 2.342588812, 2.325522229, 2.288136839, 2.352899651, 2.3050402859999997, 2.302655491, 2.289667377, 2.291196264, 2.311138464, 2.3333560309999997, 2.3556713240000002, 2.329263666, 2.2941674279999997, 2.312660395, 2.3137154300000002, 2.301350747, 2.3368889499999996, 2.305921472, 2.334926877, 2.3440881310000004, 2.3653589530000003, 2.326896882, 2.339826895, 2.3113685939999997, 2.381614047, 2.32597725, ]
15-0-756	5	[2.382663336, 2.3736583920000003, 2.351429972, 2.35394731, 2.345022913, 2.3471514100000004, 2.378017643, 2.411309792, 2.38752274, 2.427975175, 2.3873020709999997, 2.376179534, 2.360632694, 2.376999252, 2.3515785129999998, 2.367912205, 2.428585422, 2.3775884940000003, 2.387708948, 2.3610816339999996, 2.352079086, 2.387418669, 2.378581869, 2.379577541, 2.3570490939999997, 2.36144913, 2.360386091, 2.398894383, 2.415229927, 2.400304203, 2.3905805, 2.392266612, 2.392516917, 2.3707582800000004, 2.323661094, 2.375719084, 2.351037432, 2.3862105180000004, 2.363108763, 2.348743905, ]
15-0-94	6	[2.4000174029999997, 2.3633792629999997, 2.356760083, 2.449744563, 2.383172977, 2.4011305829999996, 2.404448568, 2.386380226, 2.3821229859999997, 2.440052495, 2.342341073, 2.382131703, 2.389916692, 2.3825362390000002, 2.375765174, 2.372716523, 2.3807187900000004, 2.433084056, 2.397268267, 2.3598636689999997, 2.342729009, 2.4196448090000002, 2.364760545, 2.4011478420000003, 2.35136067, 2.363977244, 2.3732805270000004, 2.474912987, 2.375967095, 2.3721158979999997, 2.355819317, 2.421366881, 2.369804078, 2.38258758, 2.4010861190000004, 2.412207624, 2.353017308, 2.375079041, 2.3837115190000002, 2.415893672, ]
14-1-444	5	[2.366115289, 2.376849725, 2.3705352330000005, 2.364904049, 2.337664058, 2.378645864, 2.3403994499999996, 2.33715301, 2.3867507779999997, 2.3299282949999998, 2.4016611070000002, 2.36664869, 2.359481836, 2.3478194300000004, 2.3524812820000003, 2.370896374, 2.294195822, 2.302432016, 2.393212913, 2.4070729660000003, 2.3172058179999997, 2.320157304, 2.3580793460000002, 2.359614358, 2.3803867690000002, 2.309250646, 2.3755907400000003, 2.3855622519999997, 2.322353895, 2.383808229, 2.343030065, 2.3811576810000004, 2.322261446, 2.3760644870000003, 2.3789862050000004, 2.316359059, 2.324608355, 2.382644414, 2.31179478, 2.369422373, ]
15-0-124	6	[2.259567189, 2.349525787, 2.299806336, 2.325938522, 2.3011914860000005, 2.276030909, 2.2885229469999997, 2.2855567189999997, 2.331189679, 2.294077782, 2.357062825, 2.291926969, 2.300703573, 2.3030100510000002, 2.310767193, 2.297991813, 2.291471081, 2.384846777, 2.339872883, 2.348695773, 2.333076869, 2.291210102, 2.3092717929999997, 2.2743947760000003, 2.282796421, 2.309264834, 2.30817641, 2.296930702, 2.306791454, 2.2911038620000004, 2.309709959, 2.323968639, 2.310052618, 2.3182756920000003, 2.300846776, 2.283480863, 2.308764688, 2.292620638, 2.291398484, 2.31719805, ]
15-1-319	3	[2.345059854, 2.379812629, 2.3538661650000003, 2.365777752, 2.415046428, 2.36544195, 2.354744067, 2.373511625, 2.371429632, 2.332313201, 2.368847112, 2.318702172, 2.381144894, 2.349614551, 2.382399004, 2.34435379, 2.340914057, 2.389558375, 2.3876196679999997, 2.335098479, 2.363550041, 2.344298152, 2.3358395790000004, 2.3851238130000003, 2.4203316060000004, 2.3678747300000005, 2.383667055, 2.3682759420000004, 2.314778499, 2.357806655, 2.379862935, 2.384623338, 2.330632765, 2.2927018420000005, 2.371186147, 2.359723554, 2.302103396, 2.376420781, 2.318990948, 2.3550976969999997, ]
15-1-1012	3	[2.391457908, 2.373682315, 2.397724177, 2.4292660120000003, 2.4168763810000002, 2.351302136, 2.454855927, 2.37925899, 2.4307414439999997, 2.391675117, 2.394405962, 2.3933381340000004, 2.385343191, 2.4072329650000004, 2.48430573, 2.415002544, 2.391338924, 2.402749064, 2.359536062, 2.383634615, 2.3789282000000003, 2.3548607309999996, 2.352065384, 2.3951264890000004, 2.38957891, 2.3943290549999996, 2.368583893, 2.3809386850000003, 2.445589815, 2.4091224070000004, 2.4309934660000003, 2.3859944289999997, 2.400290748, 2.332622731, 2.39813982, 2.42366227, 2.3529704660000004, 2.384304962, 2.4488342380000003, 2.381144461, ]
15-0-293	7	[2.432313405, 2.454432061, 2.429866874, 2.3917865259999997, 2.453924619, 2.4049204169999996, 2.462107993, 2.480212326, 2.422050302, 2.3961567070000003, 2.40583102, 2.459534347, 2.4392397580000003, 2.4103666649999997, 2.418919571, 2.4352264, 2.429175802, 2.4107578160000003, 2.441036969, 2.4325356240000002, 2.468707862, 2.452150245, 2.442883715, 2.459668668, 2.3865226369999997, 2.419239038, 2.40895899, 2.359988575, 2.438306255, 2.395532159, 2.396129404, 2.404567225, 2.432177467, 2.37614281, 2.4069384830000002, 2.4181929600000003, 2.473189498, 2.452918678, 2.407216268, 2.420953015, ]
14-0-603	6	[2.3575025499999995, 2.355680831, 2.4407222949999996, 2.40923193, 2.3573371979999997, 2.4089251660000004, 2.3881890340000003, 2.363352919, 2.434860193, 2.3793912049999997, 2.414817375, 2.455672378, 2.433688401, 2.367481347, 2.388118634, 2.34957688, 2.372255434, 2.3982977410000004, 2.3734646410000004, 2.3469230810000004, 2.3945216289999998, 2.3290920390000003, 2.382198781, 2.4137355339999997, 2.379177489, 2.3912008310000004, 2.3656460690000003, 2.389946343, 2.376580947, 2.4047478190000002, 2.384404429, 2.349425132, 2.37408448, 2.393227952, 2.372946426, 2.3702404969999997, 2.4181964750000002, 2.390733454, 2.4015250029999997, 2.362337505, ]
14-0-649	8	[2.4213151870000003, 2.4265602729999998, 2.3720741, 2.426284728, 2.426805765, 2.398882972, 2.372046294, 2.4043240810000004, 2.397514411, 2.355820374, 2.482577102, 2.396257306, 2.435541475, 2.4015598999999996, 2.404227003, 2.418443892, 2.410217074, 2.3876863980000005, 2.402174869, 2.38475729, 2.380984307, 2.369770535, 2.375744299, 2.3750912590000004, 2.3729688380000002, 2.38206033, 2.366865379, 2.4329794299999996, 2.408319477, 2.444360319, 2.403785762, 2.382860451, 2.4136546759999997, 2.383257809, 2.4227614820000003, 2.395702906, 2.385057497, 2.414657956, 2.3814404920000003, 2.455473391, ]
13-0-833	8	[2.5261737149999997, 2.5277126610000002, 2.5198735039999995, 2.5074768, 2.5097101879999997, 2.489209801, 2.491985897, 2.496204246, 2.494870628, 2.479920205, 2.4732529459999997, 2.479106611, 2.469336212, 2.507053748, 2.477196758, 2.495173453, 2.643824447, 2.50656373, 2.536196733, 2.459597832, 2.5101292170000002, 2.5182239330000002, 2.4962683319999996, 2.5065698789999997, 2.451251043, 2.46805887, 2.461871133, 2.519297675, 2.5334510999999997, 2.4786241479999997, 2.479393038, 2.55380436, 2.494022441, 2.462305392, 2.5110408840000003, 2.533052487, 2.502520282, 2.477146705, 2.4728173289999997, 2.516968937, ]
12-1-549	8	[2.4309820249999996, 2.469030986, 2.446973606, 2.4606437629999998, 2.4352896260000003, 2.4727498709999995, 2.4411609079999996, 2.4253015700000002, 2.413477983, 2.42666619, 2.4202373560000003, 2.4074404350000003, 2.423522561, 2.4499809170000004, 2.430573147, 2.4315665639999997, 2.42115019, 2.437333286, 2.430421936, 2.450761592, 2.440425846, 2.4731373760000004, 2.43169272, 2.3923066310000003, 2.450490395, 2.404900864, 2.4362538209999998, 2.4972633859999998, 2.418799576, 2.407352757, 2.4289340029999997, 2.425453021, 2.431349396, 2.432233847, 2.4284938460000003, 2.403987664, 2.439584665, 2.4619595459999997, 2.4757516489999998, 2.444158449, ]
14-0-449	8	[2.4189234170000002, 2.404958539, 2.453057142, 2.396570424, 2.425451689, 2.418653617, 2.4601524329999997, 2.480555701, 2.4248631379999996, 2.4456861549999998, 2.493854693, 2.456566215, 2.434606008, 2.465383557, 2.436602502, 2.459320893, 2.4443640259999997, 2.475290647, 2.4214703789999996, 2.46501672, 2.4702928550000003, 2.446129312, 2.444730071, 2.402335701, 2.437789981, 2.4287564909999997, 2.423407419, 2.49428128, 2.4326665199999997, 2.384458971, 2.4391340560000003, 2.457490491, 2.436602868, 2.434836018, 2.462106785, 2.413024156, 2.45508065, 2.443341748, 2.4335748059999998, 2.388714109, ]
