7355	5	[1.071366767, 1.0572555909999999, 1.059836996, 1.06553014, 1.066109398, 1.071041014, 1.030633429, 1.062933393, 1.060322886, 1.050365709, 1.0408413220000001, 1.0301699910000002, 1.046221785, 1.081089567, 1.0539221360000002, 1.064689375, 1.0471644320000002, 1.072466921, 1.044805042, 1.069180255, 1.0445656829999999, 1.032298538, 1.074947108, 1.03765135, 1.050011035, 1.073995869, 1.071526904, 1.064900078, 1.0322571429999998, 1.0321174, 1.0626802020000001, 1.0596141380000001, 1.0469046929999999, 1.0337786649999998, 1.074699792, 1.0756082779999998, 1.0528092070000001, 1.0859619399999998, 1.055353748, 1.054136513, ]
7232	10	[1.1361067820000001, 1.170823659, 1.132193708, 1.1146850609999999, 1.144937728, 1.143753137, 1.1480203869999999, 1.161818289, 1.135789304, 1.154215302, 1.154648603, 1.1383520909999998, 1.163755639, 1.14883508, 1.1607983009999998, 1.172295262, 1.17928912, 1.158689451, 1.1429029800000001, 1.145415539, 1.1124391470000001, 1.116714578, 1.1251970900000001, 1.1586498459999999, 1.154739916, 1.135737566, 1.1151846229999998, 1.131376701, 1.140804766, 1.1903506080000001, 1.1420232650000002, 1.1578330840000002, 1.142184184, 1.124203271, 1.1164582740000002, 1.109701294, 1.140082216, 1.154345186, 1.147103318, 1.133374651, ]
7221	7	[1.016538051, 1.0051250779999998, 1.036143306, 1.028779879, 1.029388578, 1.014271188, 1.0191912539999999, 1.030444386, 1.0363013040000002, 1.011507339, 1.032683643, 1.023034309, 1.036323296, 1.009543962, 1.043281092, 1.002657191, 1.028500538, 1.018123474, 1.027078264, 1.019009542, 1.036730794, 1.034819437, 1.019811978, 1.03470954, 1.019986138, 1.027350018, 1.016919479, 1.002259133, 1.015426503, 1.0243817970000002, 1.03588372, 1.03060083, 1.022669905, 1.0376764250000001, 1.020942105, 1.031961002, 1.012101089, 1.028000747, 1.035767793, 0.9911395199999999, ]
8323	10	[1.537460933, 1.562865688, 1.565360759, 1.595563496, 1.553383187, 1.551495884, 1.5776614650000003, 1.543556527, 1.499563738, 1.558591316, 1.5563181259999999, 1.540241951, 1.5753071740000002, 1.5632748210000003, 1.578023047, 1.505730258, 1.533280135, 1.511556893, 1.591815196, 1.552016644, 1.608101103, 1.538203498, 1.586397097, 1.501240273, 1.5284268079999999, 1.512952601, 1.556870391, 1.538429766, 1.546449632, 1.5553870730000001, 1.557398878, 1.5601122820000002, 1.56597849, 1.4982359670000003, 1.547164975, 1.538379538, 1.540845405, 1.534580375, 1.5924942370000001, 1.546770647, ]
2081	11	[1.3535206240000002, 1.304437114, 1.342910464, 1.3574465270000002, 1.3482088319999999, 1.3589743490000001, 1.348369234, 1.321380862, 1.330698192, 1.320615016, 1.35488893, 1.329541704, 1.361853923, 1.3678164439999998, 1.3502143540000002, 1.3409298090000001, 1.396311527, 1.3426562830000002, 1.387448789, 1.390505793, 1.381800599, 1.339447066, 1.365669144, 1.29625976, 1.2970040809999999, 1.303389416, 1.3085977320000002, 1.360766962, 1.393607225, 1.347635981, 1.3469550150000003, 1.362907249, 1.328042519, 1.34505801, 1.345204237, 1.330268074, 1.406089095, 1.3469296530000001, 1.357480686, 1.357692764, ]
1254	8	[1.2352742620000001, 1.2170590470000002, 1.201274267, 1.225939662, 1.2402376919999998, 1.217597923, 1.2387938420000002, 1.238911826, 1.2492760010000001, 1.244024888, 1.213679624, 1.227569137, 1.2272627589999998, 1.260878963, 1.2284940899999999, 1.229276807, 1.183349105, 1.215662487, 1.214513573, 1.2504105049999998, 1.209931766, 1.2403064430000001, 1.23791367, 1.241778941, 1.240019542, 1.210380857, 1.2717458710000002, 1.2341307, 1.218443849, 1.234961475, 1.258067974, 1.2348784400000001, 1.259937244, 1.2393398279999999, 1.2363117170000002, 1.230873402, 1.2385151049999998, 1.2376009040000002, 1.2346849119999999, 1.209787207, ]
5333	7	[1.200733924, 1.19435164, 1.187036095, 1.191938428, 1.185800458, 1.19377698, 1.1938086989999999, 1.193489638, 1.19572331, 1.179974295, 1.168152676, 1.172805796, 1.162783382, 1.170792203, 1.193443523, 1.2084056269999999, 1.1866720450000001, 1.214871592, 1.158434497, 1.18234568, 1.1884752079999998, 1.164716689, 1.166485435, 1.187977909, 1.1548629369999999, 1.208702407, 1.190521775, 1.191018023, 1.1845319189999999, 1.186090951, 1.206616544, 1.1709160090000001, 1.1716573149999998, 1.155822409, 1.169898201, 1.183552658, 1.18659845, 1.1856203189999999, 1.181300422, 1.162354782, ]
14407	7	[1.2328344160000002, 1.215044692, 1.232884716, 1.2550342210000003, 1.264928242, 1.2303011750000001, 1.208408272, 1.232645805, 1.2366998639999998, 1.260447235, 1.20989055, 1.2403055070000002, 1.2180289550000003, 1.262706256, 1.2564153500000002, 1.2259076969999998, 1.2410504839999998, 1.2292484810000002, 1.243247463, 1.233626177, 1.240093174, 1.199988678, 1.2121219269999999, 1.236341416, 1.2553215690000001, 1.203777742, 1.2579876060000001, 1.228007025, 1.224965528, 1.245512736, 1.2460174810000002, 1.2223381999999998, 1.236733523, 1.2358427840000001, 1.24056418, 1.257001945, 1.2531352859999998, 1.250628428, 1.22532318, 1.2348256, ]
5325	7	[1.20938905, 1.1982782619999999, 1.223717578, 1.20062279, 1.196640835, 1.178177988, 1.203513802, 1.198779419, 1.223906141, 1.2209178569999999, 1.176463095, 1.180439821, 1.2210632900000002, 1.2037958519999998, 1.234220391, 1.2061663410000003, 1.2034931610000001, 1.189471615, 1.20909207, 1.221499499, 1.208152375, 1.234821791, 1.1829765090000002, 1.192862019, 1.189691874, 1.2151170390000001, 1.192258298, 1.172158446, 1.2068587480000001, 1.203101215, 1.2329535260000002, 1.182454907, 1.2325092729999998, 1.182157309, 1.19822032, 1.208786503, 1.2181544, 1.183276956, 1.203492859, 1.1876058329999999, ]
127	7	[1.3600842370000001, 1.39357679, 1.350569749, 1.3950169680000002, 1.372477207, 1.405797073, 1.376028602, 1.3809574809999998, 1.333232683, 1.4192012410000001, 1.39567989, 1.347107905, 1.372898575, 1.389901683, 1.359842057, 1.389872017, 1.4147443339999999, 1.3915858369999998, 1.376840199, 1.325472897, 1.365423646, 1.389082245, 1.3852034530000001, 1.331908595, 1.4199656410000001, 1.3894317630000002, 1.4039338160000001, 1.374185501, 1.4001815850000001, 1.3968539130000002, 1.447009216, 1.397985222, 1.379713578, 1.350869812, 1.390067069, 1.3772714179999999, 1.3756693979999999, 1.371533188, 1.4069211430000002, 1.390656419, ]
